id_unidad;blanco_y_nulo;FA;Otros;PLN;PLP;PNR;PSD;PUSC;votos;habilitados
00-1-01-05-0091;1;32;34;106;71;37;82;47;410;600
00-1-01-05-0092;3;40;25;122;71;42;57;42;402;600
00-1-01-05-0093;6;34;20;116;69;45;59;48;397;600
00-1-01-05-0094;4;54;18;112;74;38;74;33;407;600
00-1-01-05-0095;2;33;23;120;58;29;52;49;366;600
00-1-01-05-0096;4;50;25;127;68;29;68;41;412;600
00-1-01-05-0097;2;34;22;128;75;41;58;46;406;600
00-1-01-05-0098;5;37;22;134;62;35;81;35;411;600
00-1-01-05-0099;0;58;21;137;55;28;73;26;398;600
00-1-01-05-0100;3;49;26;113;55;45;58;53;402;600
00-1-01-05-0101;4;41;21;134;60;46;61;43;410;600
00-1-01-05-0102;2;40;31;115;68;38;63;47;404;600
00-1-01-05-0103;1;38;25;112;70;33;70;38;387;600
00-1-01-05-0104;4;38;30;107;61;46;70;29;385;600
00-1-01-05-0105;9;62;22;103;63;43;51;46;399;600
00-1-01-05-0106;0;52;32;98;67;33;67;29;378;600
00-1-01-05-0107;3;31;34;121;70;34;62;47;402;600
00-1-01-05-0108;3;51;22;104;57;34;75;49;395;600
00-1-01-05-0109;1;38;23;123;68;19;67;50;389;585
00-1-01-05-0110;4;38;20;117;65;31;71;34;380;584
00-1-01-05-0111;2;50;30;126;78;28;66;38;418;583
00-1-01-05-0112;6;61;21;103;82;24;66;59;422;583
00-1-01-05-0113;3;63;36;110;78;20;74;45;429;583
00-1-01-05-0114;4;55;26;123;87;31;73;40;439;583
00-1-01-05-0115;5;44;20;158;57;24;66;37;411;583
00-1-01-05-0116;1;50;29;139;74;21;65;40;419;583
00-1-01-05-0117;1;43;29;128;77;33;63;35;409;583
00-1-01-05-0118;2;53;21;126;85;21;58;45;411;583
00-1-01-05-0119;1;46;26;129;81;19;69;32;403;584
00-1-01-06-0120;3;27;27;142;81;34;64;32;410;591
00-1-01-06-0121;2;49;24;141;81;36;58;33;424;591
00-1-01-06-0122;4;54;22;110;78;29;72;39;408;591
00-1-01-06-0123;5;40;31;135;59;41;61;35;407;591
00-1-01-06-0124;2;50;12;117;84;32;61;44;402;591
00-1-01-06-0125;3;41;23;125;73;26;67;32;390;591
00-1-01-06-0126;2;34;30;133;92;32;76;22;421;591
00-1-01-06-0127;2;56;18;123;90;31;69;35;424;591
00-1-01-06-0128;3;51;29;108;101;44;54;36;426;591
00-1-01-06-0129;1;41;34;132;71;40;62;40;421;591
00-1-01-06-0130;2;47;15;134;81;41;63;38;421;591
00-1-01-06-0131;2;57;23;141;65;35;52;32;407;591
00-1-01-06-0132;0;63;26;124;65;32;60;44;414;591
00-1-01-06-0133;4;45;16;128;77;31;76;36;413;591
00-1-01-06-0134;6;48;21;113;93;32;62;37;412;591
00-1-01-06-0135;5;43;19;125;76;42;84;31;425;591
00-1-01-06-0136;1;42;17;133;72;22;71;41;399;591
00-1-01-06-0137;2;45;27;124;100;31;50;45;424;591
00-1-01-06-0138;0;44;24;136;86;25;61;43;419;593
00-1-01-06-0139;4;70;25;121;63;36;65;45;429;577
00-1-01-06-0140;3;38;18;117;93;24;80;44;417;577
00-1-01-06-0141;3;39;31;127;71;34;80;31;416;577
00-1-01-06-0142;2;38;22;145;65;29;67;22;390;577
00-1-01-06-0143;2;48;29;140;78;24;70;24;415;577
00-1-01-06-0144;5;54;18;139;79;24;52;31;402;577
00-1-01-06-0145;2;59;21;112;72;28;58;33;385;577
00-1-01-06-0146;0;33;27;126;88;30;56;34;394;577
00-1-01-06-0147;2;51;21;144;64;39;64;36;421;577
00-1-01-06-0148;4;53;19;125;84;39;73;32;429;577
00-1-01-06-0149;2;60;42;117;60;34;57;34;406;577
00-1-01-06-0150;0;56;20;124;80;31;65;29;405;577
00-1-01-07-0151;1;24;13;87;75;21;59;24;304;560
00-1-01-07-0152;2;25;15;98;92;44;60;27;363;560
00-1-01-07-0153;4;37;19;89;76;20;55;29;329;560
00-1-01-07-0154;4;28;16;85;82;25;45;25;310;560
00-1-01-07-0155;3;36;18;99;71;29;47;23;326;561
00-1-01-07-0156;6;40;21;111;135;19;66;28;426;607
00-1-01-07-0157;0;38;20;145;108;25;56;32;424;607
00-1-01-07-0158;4;46;12;111;106;24;61;24;388;607
00-1-01-07-0159;3;46;29;111;122;17;75;21;424;607
00-1-01-07-0160;1;30;18;123;103;28;71;31;405;608
00-1-01-07-0161;2;12;15;119;37;39;21;57;302;469
00-1-01-07-0162;1;23;18;83;37;41;45;55;303;470
00-1-01-07-0163;6;9;25;61;18;142;30;28;319;558
00-1-01-07-0164;7;8;23;60;21;141;18;33;311;559
00-1-01-07-0165;2;10;7;44;31;100;38;25;257;636
00-1-01-07-0166;3;22;19;36;46;87;27;24;264;636
00-1-01-07-0167;5;13;16;33;24;89;34;30;244;636
00-1-01-07-0168;4;20;17;49;28;103;32;12;265;636
00-1-01-07-0169;3;24;14;39;33;106;24;21;264;636
00-1-01-07-0170;6;18;16;30;40;99;21;27;257;636
00-1-01-07-0171;7;16;18;38;35;82;26;12;234;636
00-1-01-07-0172;2;23;11;37;33;101;23;24;254;636
00-1-01-07-0173;1;13;24;36;35;95;27;20;251;636
00-1-01-07-0174;5;23;12;30;51;100;22;17;260;639
00-1-01-07-0175;5;41;25;89;73;45;75;31;384;578
00-1-01-07-0176;10;42;25;114;90;42;60;36;419;578
00-1-01-07-0177;6;29;17;106;75;42;81;46;402;578
00-1-01-07-0178;1;38;31;126;58;44;71;27;396;578
00-1-01-07-0179;5;39;17;107;53;47;73;42;383;578
00-1-01-07-0180;0;43;30;110;76;34;70;38;401;583
00-1-01-07-0181;1;0;4;8;0;0;3;2;18;111
00-1-01-08-0182;4;39;13;140;136;15;49;19;415;610
00-1-01-08-0183;1;49;19;140;115;22;34;32;412;610
00-1-01-08-0184;3;25;20;133;130;12;52;28;403;610
00-1-01-08-0185;1;33;13;150;109;24;50;26;406;610
00-1-01-08-0186;1;38;13;132;133;20;48;31;416;610
00-1-01-08-0187;2;36;16;138;99;11;49;39;390;613
00-1-01-08-0188;3;36;20;115;89;39;49;31;382;600
00-1-01-08-0189;4;41;27;115;90;35;66;33;411;600
00-1-01-08-0190;2;41;20;131;98;25;47;36;400;600
00-1-01-08-0191;0;37;18;121;96;41;56;29;398;600
00-1-01-08-0192;3;22;27;130;86;28;57;38;391;600
00-1-01-08-0193;1;34;18;114;75;30;57;45;374;573
00-1-01-08-0194;1;46;19;123;76;24;47;25;361;573
00-1-01-09-0195;2;41;20;124;84;26;64;34;395;612
00-1-01-09-0196;5;40;22;135;89;32;65;28;416;612
00-1-01-09-0197;0;27;21;108;103;41;63;27;390;612
00-1-01-09-0198;2;28;15;136;108;28;67;33;417;612
00-1-01-09-0199;4;30;16;130;89;32;51;37;389;612
00-1-01-09-0200;6;25;21;124;116;28;78;25;423;612
00-1-01-09-0201;3;47;12;119;102;22;51;28;384;612
00-1-01-09-0202;0;33;16;103;78;30;74;25;359;612
00-1-01-09-0203;0;45;19;128;113;19;47;29;400;612
00-1-01-09-0204;1;27;18;107;105;30;72;28;388;612
00-1-01-09-0205;1;28;25;117;112;23;55;32;393;612
00-1-01-09-0206;4;22;13;131;130;22;55;27;404;612
00-1-01-09-0207;2;38;16;105;100;33;74;44;412;612
00-1-01-09-0208;4;36;22;137;93;27;63;29;411;612
00-1-01-09-0209;4;29;14;115;121;29;54;31;397;612
00-1-01-09-0210;1;21;16;129;107;41;71;28;414;612
00-1-01-09-0211;2;25;23;118;79;41;58;33;379;612
00-1-01-09-0212;3;30;19;127;98;27;54;39;397;612
00-1-01-09-0214;3;37;15;143;95;18;57;39;407;612
00-1-01-09-0215;2;26;25;111;125;28;60;38;415;612
00-1-01-09-0216;3;32;16;120;103;19;52;27;372;612
00-1-01-09-0217;4;35;29;112;95;37;77;33;422;612
00-1-01-09-0218;2;36;11;106;115;18;54;23;365;618
00-1-01-09-0219;4;17;16;55;46;84;53;33;308;600
00-1-01-09-0220;7;21;22;66;49;95;32;43;335;600
00-1-01-09-0221;11;29;25;50;39;88;49;37;328;600
00-1-01-09-0222;3;20;23;60;45;88;44;28;311;600
00-1-01-09-0223;4;15;17;54;34;89;55;26;294;600
00-1-01-09-0224;2;21;27;51;49;98;39;40;327;600
00-1-01-09-0225;1;17;24;75;37;84;31;35;304;600
00-1-01-09-0226;5;23;24;53;33;89;48;41;316;600
00-1-01-09-0227;3;17;26;78;37;75;34;39;309;600
00-1-01-09-0228;4;20;20;57;46;98;47;20;312;600
00-1-01-09-0229;2;19;28;62;33;88;38;44;314;600
00-1-01-09-0230;3;16;22;74;45;83;37;20;300;600
00-1-01-09-0231;3;22;29;57;41;84;37;24;297;600
00-1-01-09-0232;2;16;28;67;34;91;43;38;319;600
00-1-01-09-0233;7;12;31;78;40;99;47;30;344;600
00-1-01-09-0234;12;14;26;51;32;89;52;39;315;600
00-1-01-09-0235;5;11;20;64;33;87;35;29;284;600
00-1-01-09-0236;0;27;21;49;40;101;48;35;321;600
00-1-01-09-0237;4;18;23;56;30;106;40;31;308;600
00-1-01-09-0238;3;25;27;61;33;109;40;43;341;600
00-1-01-09-0239;1;15;30;64;32;75;52;41;310;600
00-1-01-09-0241;2;12;19;60;53;85;51;35;317;600
00-1-01-09-0242;3;17;19;51;38;93;41;33;295;600
00-1-01-09-0243;0;11;22;58;38;102;47;25;303;600
00-1-01-09-0244;6;24;26;65;45;100;35;25;326;600
00-1-01-09-0245;1;19;26;69;49;83;40;34;321;600
00-1-01-09-0246;3;28;24;67;27;79;38;41;307;600
00-1-01-09-0247;7;15;24;83;39;93;48;28;337;600
00-1-01-09-0248;2;25;16;65;33;105;43;32;321;600
00-1-01-09-0249;3;25;33;51;46;81;41;29;309;600
00-1-01-09-0250;2;18;22;76;44;92;37;28;319;600
00-1-01-09-0251;1;12;26;60;35;101;39;36;310;600
00-1-01-09-0252;1;21;15;67;47;84;47;29;311;600
00-1-01-09-0253;4;22;29;73;42;90;56;24;340;599
00-1-01-09-0254;2;16;21;69;34;82;44;41;309;598
00-1-01-09-0255;6;28;15;117;109;44;58;34;411;586
00-1-01-09-0256;1;40;19;119;118;37;59;20;413;586
00-1-01-09-0257;2;45;19;110;109;38;71;27;421;586
00-1-01-09-0258;0;37;22;115;99;19;71;23;386;586
00-1-01-09-0259;0;30;15;102;94;44;91;30;406;586
00-1-01-09-0260;3;45;27;117;100;39;58;39;428;586
00-1-01-09-0261;3;33;19;104;117;52;53;22;403;586
00-1-01-09-0262;4;37;16;121;110;26;66;31;411;586
00-1-01-09-0263;2;38;23;113;95;39;73;38;421;586
00-1-01-09-0264;5;27;29;116;98;39;76;34;424;592
00-1-01-09-0265;2;26;23;83;56;75;63;31;359;615
00-1-01-09-0266;7;13;25;74;43;80;49;37;328;615
00-1-01-09-0267;2;17;31;65;45;78;41;53;332;615
00-1-01-09-0268;4;28;30;80;50;78;48;29;347;615
00-1-01-09-0269;7;23;21;87;52;90;44;48;372;615
00-1-01-09-0270;3;24;24;70;56;78;47;49;351;615
00-1-01-09-0271;6;25;26;76;52;72;38;45;340;615
00-1-01-09-0272;6;21;18;87;54;75;47;35;343;615
00-1-01-09-0273;4;29;20;82;59;76;59;35;364;615
00-1-01-09-0274;5;15;34;81;56;74;51;45;361;615
00-1-01-09-0275;6;26;14;73;48;89;48;34;338;615
00-1-01-09-0278;1;25;30;78;56;88;47;46;371;615
00-1-01-09-0279;9;23;30;88;50;64;44;47;355;615
00-1-01-09-0280;4;32;28;70;60;80;61;49;384;625
00-1-01-10-0281;0;51;25;90;64;46;80;43;399;600
00-1-01-10-0283;4;43;31;88;67;52;60;41;386;600
00-1-01-10-0284;1;35;30;102;67;41;68;37;381;600
00-1-01-10-0285;3;39;34;105;55;49;57;44;386;600
00-1-01-10-0286;4;42;29;103;45;60;58;41;382;600
00-1-01-10-0287;2;35;20;110;61;31;78;39;376;600
00-1-01-10-0288;5;51;30;91;58;48;75;38;396;600
00-1-01-10-0289;2;46;47;100;50;47;62;44;398;600
00-1-01-10-0290;1;37;26;107;50;50;67;35;373;600
00-1-01-10-0291;3;37;15;126;57;43;81;36;398;600
00-1-01-10-0292;4;48;34;95;44;54;66;34;379;600
00-1-01-10-0293;5;36;29;109;57;48;70;29;383;600
00-1-01-10-0294;4;37;31;113;57;39;67;38;386;600
00-1-01-10-0295;2;41;35;94;51;65;74;29;391;600
00-1-01-10-0296;2;34;35;115;61;52;58;24;381;600
00-1-01-10-0297;3;41;33;99;55;33;67;47;378;600
00-1-01-10-0298;1;42;26;91;68;53;69;29;379;600
00-1-01-10-0299;6;35;30;82;61;47;67;43;371;600
00-1-01-10-0300;5;43;23;113;57;47;60;43;391;600
00-1-01-10-0301;3;36;25;97;70;40;73;39;383;600
00-1-01-10-0302;3;55;34;102;46;38;76;41;395;600
00-1-01-10-0303;1;43;26;88;49;43;68;36;354;600
00-1-01-10-0304;5;37;26;105;72;48;74;29;396;600
00-1-01-10-0305;2;33;23;118;42;58;55;52;383;600
00-1-01-10-0306;2;49;21;123;53;36;68;42;394;600
00-1-01-10-0307;4;34;19;119;52;47;81;28;384;594
00-1-01-10-0308;2;44;26;103;51;56;70;39;391;593
00-1-01-10-0309;2;20;24;65;35;88;53;32;319;590
00-1-01-10-0310;3;33;31;58;33;77;46;29;310;590
00-1-01-10-0311;3;28;20;74;34;86;43;30;318;590
00-1-01-10-0312;6;18;25;70;26;90;25;39;299;590
00-1-01-10-0313;3;20;19;87;36;69;35;32;301;590
00-1-01-10-0314;2;16;19;80;24;68;41;32;282;590
00-1-01-10-0315;2;23;21;64;30;78;38;43;299;590
00-1-01-10-0316;4;20;26;66;34;75;40;27;292;590
00-1-01-10-0317;4;15;23;84;39;84;26;39;314;590
00-1-01-10-0318;1;19;23;76;31;74;43;34;301;590
00-1-01-10-0319;7;22;31;57;34;97;36;41;325;592
00-1-01-10-0320;2;32;34;113;64;69;60;21;395;605
00-1-01-10-0321;2;25;33;113;58;42;47;34;354;605
00-1-01-10-0322;3;24;31;92;70;53;52;40;365;605
00-1-01-10-0323;1;32;29;87;68;37;60;45;359;605
00-1-01-10-0324;3;35;22;98;53;50;55;44;360;605
00-1-01-10-0325;2;29;30;106;55;58;79;31;390;605
00-1-01-10-0326;5;31;24;100;46;47;67;44;364;605
00-1-01-10-0327;7;27;23;102;48;65;69;36;377;605
00-1-01-10-0328;3;41;24;102;45;56;60;33;364;605
00-1-01-10-0329;1;34;23;96;61;55;57;38;365;605
00-1-01-10-0330;3;30;34;106;41;48;75;38;375;605
00-1-01-10-0331;1;30;35;90;56;54;53;41;360;605
00-1-01-10-0332;2;26;30;118;46;55;77;46;400;605
00-1-01-10-0333;2;34;28;104;48;49;73;43;381;605
00-1-01-10-0334;2;31;26;88;66;49;51;34;347;605
00-1-01-10-0335;1;34;18;108;46;56;52;41;356;605
00-1-01-10-0336;1;28;20;101;55;70;66;39;380;605
00-1-01-10-0337;8;41;15;102;57;67;51;44;385;605
00-1-01-10-0338;2;25;39;102;59;48;63;36;374;605
00-1-01-10-0339;9;31;32;108;52;53;67;32;384;605
00-1-01-10-0340;2;42;35;90;66;58;44;37;374;605
00-1-01-10-0341;3;34;45;84;53;58;71;40;388;605
00-1-01-10-0342;5;37;19;100;69;54;62;40;386;605
00-1-01-10-0343;1;26;31;104;53;47;48;40;350;605
00-1-01-10-0344;3;37;27;107;49;52;70;43;388;605
00-1-01-10-0345;3;49;19;88;64;48;53;38;362;606
00-1-01-10-0346;3;23;21;87;33;81;40;33;321;570
00-1-01-10-0347;3;17;24;81;35;100;46;26;332;570
00-1-01-10-0348;3;28;25;76;44;65;48;37;326;570
00-1-01-10-0349;1;20;29;63;45;83;42;33;316;570
00-1-01-10-0350;3;24;31;69;50;76;60;43;356;570
00-1-01-10-0351;4;29;31;64;45;86;51;39;349;570
00-1-01-10-0352;7;23;19;81;37;99;49;18;333;570
00-1-01-10-0353;10;25;28;66;43;97;48;34;351;570
00-1-01-10-0354;5;29;28;74;36;82;54;35;343;578
00-1-01-11-0355;2;34;34;94;54;80;56;42;396;600
00-1-01-11-0356;2;26;25;106;46;62;63;24;354;600
00-1-01-11-0357;3;43;20;93;50;67;63;33;372;600
00-1-01-11-0358;3;36;24;84;57;67;67;36;374;600
00-1-01-11-0359;2;18;31;93;81;56;67;31;379;600
00-1-01-11-0360;2;42;38;93;71;37;42;45;370;600
00-1-01-11-0361;3;32;24;94;65;65;51;44;378;600
00-1-01-11-0362;0;31;25;97;57;59;67;32;368;600
00-1-01-11-0363;3;32;23;107;57;65;48;36;371;600
00-1-01-11-0364;3;40;24;88;61;61;51;32;360;600
00-1-01-11-0365;6;27;34;99;40;78;54;50;388;600
00-1-01-11-0366;5;34;24;76;56;50;50;63;358;600
00-1-01-11-0368;2;25;27;86;66;75;52;31;364;600
00-1-01-11-0369;1;30;32;95;61;59;63;43;384;600
00-1-01-11-0370;1;29;21;97;50;58;67;35;358;600
00-1-01-11-0371;8;32;29;103;72;54;57;47;402;600
00-1-01-11-0372;3;35;24;104;48;63;51;44;372;571
00-1-01-11-0373;2;37;18;79;48;51;52;51;338;570
00-1-01-11-0374;3;57;29;96;57;52;60;41;395;611
00-1-01-11-0375;1;42;20;101;81;42;76;44;407;611
00-1-01-11-0376;3;52;31;106;67;43;59;48;409;611
00-1-01-11-0377;10;45;28;81;41;52;69;44;370;611
00-1-01-11-0378;2;50;26;94;48;50;60;40;370;611
00-1-01-11-0379;5;49;24;105;58;47;51;39;378;611
00-1-01-11-0380;2;30;17;98;55;61;77;45;385;611
00-1-01-11-0381;5;43;30;72;70;39;73;35;367;611
00-1-01-11-0382;5;36;21;104;54;45;50;35;350;611
00-1-01-11-0383;2;50;25;94;60;51;82;43;407;611
00-1-01-11-0384;1;42;29;88;56;64;62;37;379;611
00-1-01-11-0385;6;45;36;100;45;43;60;44;379;611
00-1-01-11-0386;3;47;18;87;77;35;65;53;385;611
00-1-01-11-0387;0;43;24;101;50;48;66;37;369;611
00-1-01-11-0388;2;38;36;91;53;58;55;37;370;611
00-1-01-11-0389;0;48;23;73;60;59;60;35;358;620
00-1-01-11-0390;6;35;29;102;61;42;62;45;382;605
00-1-01-11-0391;3;45;26;108;60;42;62;31;377;605
00-1-01-11-0392;3;37;19;103;64;51;54;36;367;605
00-1-01-11-0393;0;33;24;108;52;46;50;38;351;605
00-1-01-11-0394;5;27;17;73;59;65;53;40;339;605
00-1-01-11-0395;2;33;24;89;63;51;66;44;372;605
00-1-01-11-0396;4;34;23;90;57;63;51;42;364;605
00-1-01-11-0397;3;28;28;103;63;54;50;42;371;605
00-1-01-11-0398;3;30;24;100;66;56;62;48;389;605
00-1-01-11-0399;1;29;25;103;51;43;72;33;357;605
00-1-01-11-0400;5;40;15;110;71;49;60;43;393;611
00-1-01-11-0401;4;42;34;103;73;42;66;49;413;611
00-1-01-11-0402;2;35;23;106;67;54;70;39;396;611
00-1-01-11-0403;1;46;24;98;73;56;67;33;398;611
00-1-01-11-0404;3;49;27;110;84;54;70;32;429;611
00-1-01-11-0405;3;40;14;98;76;52;69;50;402;611
00-1-02-01-0406;2;31;27;97;112;23;65;43;400;601
00-1-02-01-0407;4;26;19;115;95;21;63;51;394;601
00-1-02-01-0408;4;28;24;126;110;26;52;45;415;601
00-1-02-01-0409;1;33;21;133;114;20;47;29;398;601
00-1-02-01-0410;3;27;21;136;89;34;69;45;424;601
00-1-02-01-0411;5;26;20;126;88;26;89;42;422;601
00-1-02-01-0412;1;26;23;150;87;26;58;34;405;601
00-1-02-01-0413;4;26;23;141;94;27;63;48;426;601
00-1-02-01-0414;4;23;18;122;102;26;56;35;386;601
00-1-02-01-0415;3;30;31;131;81;16;70;37;399;601
00-1-02-01-0416;3;33;21;109;127;34;50;47;424;601
00-1-02-01-0417;2;24;32;110;100;33;62;56;419;601
00-1-02-01-0418;6;34;23;117;82;33;76;58;429;601
00-1-02-01-0419;2;47;28;95;77;25;75;35;384;601
00-1-02-01-0420;3;34;16;105;92;29;65;54;398;601
00-1-02-01-0421;1;34;22;124;106;32;56;46;421;601
00-1-02-01-0422;4;26;24;105;109;28;60;38;394;601
00-1-02-01-0423;2;39;25;109;86;34;73;48;416;601
00-1-02-01-0424;5;37;18;94;107;33;61;52;407;601
00-1-02-01-0425;6;27;17;145;111;15;59;44;424;601
00-1-02-01-0426;1;34;19;142;103;28;54;35;416;606
00-1-02-02-0427;3;38;32;79;83;43;86;30;394;614
00-1-02-02-0428;5;34;29;94;71;37;64;49;383;614
00-1-02-02-0429;2;36;37;112;82;22;73;46;410;614
00-1-02-02-0430;3;38;24;93;90;38;65;43;394;614
00-1-02-02-0431;6;37;27;91;100;41;79;34;415;614
00-1-02-02-0432;2;36;41;87;78;40;70;43;397;614
00-1-02-02-0433;4;25;28;93;65;39;52;49;355;614
00-1-02-02-0434;3;38;32;101;84;36;60;44;398;614
00-1-02-02-0435;4;47;23;88;83;45;75;36;401;614
00-1-02-02-0436;4;42;25;103;67;36;60;33;370;614
00-1-02-02-0437;3;40;47;96;76;27;59;40;388;614
00-1-02-02-0438;4;25;28;104;88;36;51;60;396;614
00-1-02-02-0439;4;25;28;102;75;50;66;43;393;614
00-1-02-02-0440;7;37;19;106;96;53;65;25;408;614
00-1-02-02-0441;1;47;19;94;89;44;80;35;409;614
00-1-02-02-0442;3;33;25;107;86;38;61;41;394;614
00-1-02-02-0443;3;34;25;92;102;39;65;39;399;614
00-1-02-02-0444;2;45;31;114;74;50;64;30;410;614
00-1-02-02-0445;2;31;30;70;78;60;75;29;375;614
00-1-02-02-0446;2;43;26;123;71;31;84;36;416;614
00-1-02-02-0447;1;34;26;94;98;48;70;39;410;633
00-1-02-02-0448;7;22;19;53;46;16;24;16;203;342
00-1-02-02-0449;3;16;20;57;41;14;37;14;202;342
00-1-02-02-0450;8;51;32;100;62;34;58;29;374;600
00-1-02-02-0451;4;42;43;65;86;34;60;42;376;600
00-1-02-02-0452;8;28;38;91;65;43;36;39;348;600
00-1-02-02-0453;7;31;29;81;69;34;61;54;366;600
00-1-02-02-0454;2;25;28;103;62;39;56;36;351;602
